"","X.x","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","X.y","Município","idhm_2010"
"56",56,2018,1,"SP","PT",3504701,129,"2º turno","presidente",6.61877886095434,54,"Balbinos",0.669
"57",57,2018,1,"SP","PSDB",3504800,789,"nao eleito","presidente",7.54157904798318,55,"Bálsamo",0.756
"58",58,2018,1,"SP","PSOL",3504800,13,"nao eleito","presidente",0.124259223857771,55,"Bálsamo",0.756
"59",59,2018,1,"SP","PODE",3504909,16,"nao eleito","presidente",0.140166447656592,56,"Bananal",0.733
"60",60,2018,1,"SP","PSL",3504909,2364,"2º turno","presidente",20.7095926412615,56,"Bananal",0.733
"61",61,2018,1,"SP","PSTU",3504909,1,"nao eleito","presidente",0.00876040297853701,56,"Bananal",0.733
"62",62,2018,1,"SP","PT",3504909,1058,"2º turno","presidente",9.26850635129216,56,"Bananal",0.733
"63",63,2018,1,"SP","NOVO",3505005,40,"nao eleito","presidente",1.11731843575419,57,"Barão de Antonina",0.711
"64",64,2018,1,"SP","PSTU",3505005,0,"nao eleito","presidente",0,57,"Barão de Antonina",0.711
"65",65,2018,1,"SP","NOVO",3505104,57,"nao eleito","presidente",0.829332169358359,58,"Barbosa",0.699
"66",66,2018,1,"SP","PSOL",3505104,6,"nao eleito","presidente",0.0872981230903535,58,"Barbosa",0.699
"67",67,2018,1,"SP","REDE",3505104,22,"nao eleito","presidente",0.320093117997963,58,"Barbosa",0.699
"68",68,2018,1,"SP","DC",3505203,4,"nao eleito","presidente",0.0120398519098215,59,"Bariri",0.75
"69",69,2018,1,"SP","PATRIOTA",3505203,66,"nao eleito","presidente",0.198657556512055,59,"Bariri",0.75
"70",70,2018,1,"SP","PODE",3505203,82,"nao eleito","presidente",0.246816964151341,59,"Bariri",0.75
"71",71,2018,1,"SP","PODE",3505302,133,"nao eleito","presidente",0.316900569467941,60,"Barra Bonita",0.788
"72",72,2018,1,"SP","PSDB",3505351,803,"nao eleito","presidente",13.0952380952381,61,"Barra do Chapéu",0.66
"73",73,2018,1,"SP","PSL",3505351,876,"2º turno","presidente",14.2857142857143,61,"Barra do Chapéu",0.66
"74",74,2018,1,"SP","PSTU",3505351,2,"nao eleito","presidente",0.0326157860404436,61,"Barra do Chapéu",0.66
"75",75,2018,1,"SP","PPL",3505401,1,"nao eleito","presidente",0.0131752305665349,62,"Barra do Turvo",0.641
"76",76,2018,1,"SP","PSDB",3505401,614,"nao eleito","presidente",8.08959156785244,62,"Barra do Turvo",0.641
"77",77,2018,1,"SP","PSOL",3505401,6,"nao eleito","presidente",0.0790513833992095,62,"Barra do Turvo",0.641
"78",78,2018,1,"SP","MDB",3505609,261,"nao eleito","presidente",0.83266868719094,64,"Barrinha",0.725
"79",79,2018,1,"SP","MDB",3505708,1985,"nao eleito","presidente",0.558808625640448,65,"Barueri",0.786
"80",80,2018,1,"SP","NOVO",3505708,8627,"nao eleito","presidente",2.42863577501267,65,"Barueri",0.786
"81",81,2018,1,"SP","PSOL",3505708,1312,"nao eleito","presidente",0.3693485727155,65,"Barueri",0.786
"82",82,2018,1,"SP","PSTU",3505708,74,"nao eleito","presidente",0.0208321603513316,65,"Barueri",0.786
"83",83,2018,1,"SP","PDT",3505807,470,"nao eleito","presidente",1.95588847274241,66,"Bastos",0.751
"84",84,2018,1,"SP","REDE",3505807,88,"nao eleito","presidente",0.366208905534748,66,"Bastos",0.751
"85",85,2018,1,"SP","PSDB",3506003,17903,"nao eleito","presidente",4.76484506202576,68,"Bauru",0.801
"86",86,2018,1,"SP","PSTU",3506003,91,"nao eleito","presidente",0.0242194548759618,68,"Bauru",0.801
"87",87,2018,1,"SP","MDB",3506201,12,"nao eleito","presidente",0.412938747419133,70,"Bento de Abreu",0.744
"88",88,2018,1,"SP","PSL",3506201,850,"2º turno","presidente",29.2498279421886,70,"Bento de Abreu",0.744
"89",89,2018,1,"SP","REDE",3506201,8,"nao eleito","presidente",0.275292498279422,70,"Bento de Abreu",0.744
"90",90,2018,1,"SP","DC",3506300,7,"nao eleito","presidente",0.0619743249225321,71,"Bernardino de Campos",0.734
"91",91,2018,1,"SP","PSDB",3506359,2451,"nao eleito","presidente",4.38390956733263,72,"Bertioga",0.73
"92",92,2018,1,"SP","REDE",3506359,351,"nao eleito","presidente",0.62780589887138,72,"Bertioga",0.73
"93",93,2018,1,"SP","PPL",3506508,14,"nao eleito","presidente",0.0114204605708599,74,"Birigui",0.78
"94",94,2018,1,"SP","MDB",3506706,86,"nao eleito","presidente",0.644484412470024,76,"Boa Esperança do Sul",0.681
"95",95,2018,1,"SP","MDB",3507159,14,"nao eleito","presidente",0.313690342818732,81,"Bom Sucesso de Itararé",0.66
"96",96,2018,1,"SP","PDT",3507159,89,"nao eleito","presidente",1.9941743222048,81,"Bom Sucesso de Itararé",0.66
"97",97,2018,1,"SP","PSTU",3507159,0,"nao eleito","presidente",0,81,"Bom Sucesso de Itararé",0.66
"98",98,2018,1,"SP","REDE",3507209,1,"nao eleito","presidente",0.0656167979002625,82,"Borá",0.746
"99",99,2018,1,"SP","DC",3507308,2,"nao eleito","presidente",0.038306837770542,83,"Boracéia",0.754
"100",100,2018,1,"SP","PDT",3507308,137,"nao eleito","presidente",2.62401838728213,83,"Boracéia",0.754
"101",101,2018,1,"SP","PT",3507308,386,"2º turno","presidente",7.39321968971461,83,"Boracéia",0.754
"102",102,2018,1,"SP","PSL",3507407,4807,"2º turno","presidente",32.514880952381,84,"Borborema",0.73
"103",103,2018,1,"SP","REDE",3507407,18,"nao eleito","presidente",0.121753246753247,84,"Borborema",0.73
"104",104,2018,1,"SP","PATRIOTA",3507506,586,"nao eleito","presidente",0.403378466748811,86,"Botucatu",0.8
"105",105,2018,1,"SP","PSOL",3507506,413,"nao eleito","presidente",0.284292332367336,86,"Botucatu",0.8
"106",106,2018,1,"SP","REDE",3507506,762,"nao eleito","presidente",0.524529678605109,86,"Botucatu",0.8
"107",107,2018,1,"SP","DC",3507605,39,"nao eleito","presidente",0.0224973176275136,87,"Bragança Paulista",0.776
"108",108,2018,1,"SP","PATRIOTA",3507605,537,"nao eleito","presidente",0.309770758101919,87,"Bragança Paulista",0.776
"109",109,2018,1,"SP","PDT",3507605,7993,"nao eleito","presidente",4.61079640504401,87,"Bragança Paulista",0.776
"110",110,2018,1,"SP","PSOL",3507704,14,"nao eleito","presidente",0.223606452643348,88,"Braúna",0.737
"111",111,2018,1,"SP","PPL",3507753,0,"nao eleito","presidente",0,89,"Brejo Alegre",0.71
"112",112,2018,1,"SP","PT",3507902,947,"2º turno","presidente",3.98988835053718,91,"Brotas",0.74
"113",113,2018,1,"SP","REDE",3507902,79,"nao eleito","presidente",0.33284179481778,91,"Brotas",0.74
"114",114,2018,1,"SP","PPL",3508207,0,"nao eleito","presidente",0,94,"Buritizal",0.735
"115",115,2018,1,"SP","PSTU",3508207,0,"nao eleito","presidente",0,94,"Buritizal",0.735
"116",116,2018,1,"SP","PPL",3508405,4,"nao eleito","presidente",0.00867396725577361,96,"Cabreúva",0.738
"117",117,2018,1,"SP","REDE",3508405,160,"nao eleito","presidente",0.346958690230944,96,"Cabreúva",0.738
"118",118,2018,1,"SP","PDT",3508603,1531,"nao eleito","presidente",4.43780979158816,98,"Cachoeira Paulista",0.764
"119",119,2018,1,"SP","MDB",3508702,114,"nao eleito","presidente",0.612080536912752,99,"Caconde",0.72
"120",120,2018,1,"SP","DC",3508801,6,"nao eleito","presidente",0.0347403161368769,100,"Cafelândia",0.742
"121",121,2018,1,"SP","PT",3508900,801,"2º turno","presidente",16.2573574183073,101,"Caiabu",0.729
"122",122,2018,1,"SP","REDE",3508900,4,"nao eleito","presidente",0.0811853054597118,101,"Caiabu",0.729
"123",123,2018,1,"SP","MDB",3509007,601,"nao eleito","presidente",0.641710087981549,102,"Caieiras",0.781
"124",124,2018,1,"SP","PSTU",3509205,16,"nao eleito","presidente",0.0186189401168338,104,"Cajamar",0.728
"125",125,2018,1,"SP","PSTU",3509403,3,"nao eleito","presidente",0.0126806999746386,107,"Cajuru",0.713
"126",126,2018,1,"SP","PODE",3509452,14,"nao eleito","presidente",0.211065882707674,108,"Campina do Monte Alegre",0.717
"127",127,2018,1,"SP","PODE",3509502,4066,"nao eleito","presidente",0.342685980468753,109,"Campinas",0.805
"128",128,2018,1,"SP","PSTU",3509502,392,"nao eleito","presidente",0.0330380974775581,109,"Campinas",0.805
"129",129,2018,1,"SP","PDT",3509601,3426,"nao eleito","presidente",4.14098194212778,110,"Campo Limpo Paulista",0.769
"130",130,2018,1,"SP","PPL",3509601,11,"nao eleito","presidente",0.0132956221142457,110,"Campo Limpo Paulista",0.769
"131",131,2018,1,"SP","PSTU",3509601,31,"nao eleito","presidente",0.0374694805037832,110,"Campo Limpo Paulista",0.769
"132",132,2018,1,"SP","PODE",3509700,173,"nao eleito","presidente",0.352227380079811,111,"Campos do Jordão",0.749
"133",133,2018,1,"SP","PSDB",3509809,251,"nao eleito","presidente",4.94776266508969,112,"Campos Novos Paulista",0.706
"134",134,2018,1,"SP","PATRIOTA",3509908,70,"nao eleito","presidente",0.56483498749294,113,"Cananéia",0.72
"135",135,2018,1,"SP","MDB",3509957,43,"nao eleito","presidente",0.784958013873676,114,"Canas",0.704
"136",136,2018,1,"SP","PSOL",3509957,2,"nao eleito","presidente",0.0365096750638919,114,"Canas",0.704
"137",137,2018,1,"SP","PATRIOTA",3510005,116,"nao eleito","presidente",0.343489976607148,115,"Cândido Mota",0.747
"138",138,2018,1,"SP","PSOL",3510153,5,"nao eleito","presidente",0.101543460601137,117,"Canitar",0.68
"139",139,2018,1,"SP","PATRIOTA",3510203,118,"nao eleito","presidente",0.243218731964713,118,"Capão Bonito",0.721
"140",140,2018,1,"SP","PDT",3510401,1987,"nao eleito","presidente",3.74629989253191,120,"Capivari",0.75
"141",141,2018,1,"SP","PODE",3510500,276,"nao eleito","presidente",0.22350711821583,121,"Caraguatatuba",0.759
"142",142,2018,1,"SP","REDE",3510500,534,"nao eleito","presidente",0.432437685243671,121,"Caraguatatuba",0.759
"143",143,2018,1,"SP","PSL",3510708,3264,"2º turno","presidente",25.6765261170547,123,"Cardoso",0.722
"144",144,2018,1,"SP","REDE",3510708,16,"nao eleito","presidente",0.12586532410321,123,"Cardoso",0.722
"145",145,2018,1,"SP","PATRIOTA",3510906,6,"nao eleito","presidente",0.175080245112343,125,"Cássia dos Coqueiros",0.734
"146",146,2018,1,"SP","PPL",3510906,1,"nao eleito","presidente",0.0291800408520572,125,"Cássia dos Coqueiros",0.734
"147",147,2018,1,"SP","PSL",3510906,812,"2º turno","presidente",23.6941931718704,125,"Cássia dos Coqueiros",0.734
"148",148,2018,1,"SP","PATRIOTA",3511003,135,"nao eleito","presidente",0.680649389936473,126,"Castilho",0.731
"149",149,2018,1,"SP","PATRIOTA",3511102,422,"nao eleito","presidente",0.3298962624786,127,"Catanduva",0.785
"150",150,2018,1,"SP","PODE",3511102,522,"nao eleito","presidente",0.408070732260258,127,"Catanduva",0.785
"151",151,2018,1,"SP","PATRIOTA",3511300,16,"nao eleito","presidente",0.161144123275254,129,"Cedral",0.766
"152",152,2018,1,"SP","PSDB",3511300,688,"nao eleito","presidente",6.92919730083594,129,"Cedral",0.766
"153",153,2018,1,"SP","PSTU",3511409,8,"nao eleito","presidente",0.0406421459053038,130,"Cerqueira César",0.729
"154",154,2018,1,"SP","NOVO",3511508,1092,"nao eleito","presidente",2.2146058528869,131,"Cerquilho",0.782
"155",155,2018,1,"SP","PSL",3511607,5481,"2º turno","presidente",32.0582558343569,132,"Cesário Lange",0.706
"156",156,2018,1,"SP","PSOL",3511706,13,"nao eleito","presidente",0.0714796283059328,133,"Charqueada",0.736
"157",157,2018,1,"SP","REDE",3511706,65,"nao eleito","presidente",0.357398141529664,133,"Charqueada",0.736
"158",158,2018,1,"SP","PDT",3511904,197,"nao eleito","presidente",2.53571888273909,134,"Clementina",0.725
"159",159,2018,1,"SP","PODE",3512209,73,"nao eleito","presidente",0.246164221885011,137,"Conchal",0.708
"160",160,2018,1,"SP","MDB",3512308,76,"nao eleito","presidente",0.430936720344749,138,"Conchas",0.736
