"","Cod IBGE","Município","idhm_2010"
"169",3515103,"Embu-Guaçu",0.749
"170",3515129,"Emilianópolis",0.727
"171",3515152,"Engenheiro Coelho",0.732
"172",3515186,"Espírito Santo do Pinhal",0.787
"173",3515194,"Espírito Santo do Turvo",0.696
"174",3515202,"Estrela d'Oeste",0.76
"175",3515301,"Estrela do Norte",0.74
"176",3515350,"Euclides da Cunha Paulista",0.704
"177",3515400,"Fartura",0.732
"178",3515509,"Fernandópolis",0.797
"179",3515608,"Fernando Prestes",0.758
"180",3515657,"Fernão",0.703
"181",3515707,"Ferraz de Vasconcelos",0.738
"182",3515806,"Flora Rica",0.727
"183",3515905,"Floreal",0.747
"184",3516002,"Flórida Paulista",0.715
"185",3516101,"Florínia",0.713
"186",3516200,"Franca",0.78
"187",3516309,"Francisco Morato",0.703
"188",3516408,"Franco da Rocha",0.731
"189",3516507,"Gabriel Monteiro",0.763
"190",3516606,"Gália",0.709
"191",3516705,"Garça",0.769
"192",3516804,"Gastão Vidigal",0.723
"193",3516853,"Gavião Peixoto",0.719
"194",3516903,"General Salgado",0.747
"195",3517000,"Getulina",0.717
"196",3517109,"Glicério",0.735
"197",3517208,"Guaiçara",0.739
"198",3517307,"Guaimbê",0.728
"199",3517406,"Guaíra",0.753
"200",3517505,"Guapiaçu",0.725
"201",3517604,"Guapiara",0.675
"202",3517703,"Guará",0.718
"203",3517802,"Guaraçaí",0.719
"204",3517901,"Guaraci",0.737
"205",3518008,"Guarani d'Oeste",0.732
"206",3518107,"Guarantã",0.713
"207",3518206,"Guararapes",0.763
"208",3518305,"Guararema",0.731
"209",3518404,"Guaratinguetá",0.798
"210",3518503,"Guareí",0.687
"211",3518602,"Guariba",0.719
"212",3518701,"Guarujá",0.751
"213",3518800,"Guarulhos",0.763
"214",3518859,"Guatapará",0.743
"215",3518909,"Guzolândia",0.697
"216",3519006,"Herculândia",0.727
"217",3519055,"Holambra",0.793
"218",3519071,"Hortolândia",0.756
"219",3519105,"Iacanga",0.745
"220",3519204,"Iacri",0.733
"221",3519253,"Iaras",0.674
"222",3519303,"Ibaté",0.703
"223",3519402,"Ibirá",0.74
"224",3519501,"Ibirarema",0.708
"225",3519600,"Ibitinga",0.747
"226",3519709,"Ibiúna",0.71
"227",3519808,"Icém",0.72
"228",3519907,"Iepê",0.736
"229",3520004,"Igaraçu do Tietê",0.727
"230",3520103,"Igarapava",0.768
"231",3520202,"Igaratá",0.711
"232",3520301,"Iguape",0.726
"233",3520400,"Ilhabela",0.756
"234",3520426,"Ilha Comprida",0.725
"235",3520442,"Ilha Solteira",0.812
"236",3520509,"Indaiatuba",0.788
"237",3520608,"Indiana",0.761
"238",3520707,"Indiaporã",0.751
"239",3520806,"Inúbia Paulista",0.759
"240",3520905,"Ipaussu",0.727
"241",3521002,"Iperó",0.719
"242",3521101,"Ipeúna",0.753
"243",3521150,"Ipiguá",0.73
"244",3521200,"Iporanga",0.703
"245",3521309,"Ipuã",0.749
"246",3521408,"Iracemápolis",0.776
"247",3521507,"Irapuã",0.713
"248",3521606,"Irapuru",0.712
"249",3521705,"Itaberá",0.693
"250",3521804,"Itaí",0.713
"251",3521903,"Itajobi",0.73
"252",3522000,"Itaju",0.705
"253",3522109,"Itanhaém",0.745
"254",3522158,"Itaóca",0.68
"255",3522208,"Itapecerica da Serra",0.742
"256",3522307,"Itapetininga",0.763
"257",3522406,"Itapeva",0.732
"258",3522505,"Itapevi",0.735
"259",3522604,"Itapira",0.762
"260",3522653,"Itapirapuã Paulista",0.661
"261",3522703,"Itápolis",0.744
"262",3522802,"Itaporanga",0.719
"263",3522901,"Itapuí",0.725
"264",3523008,"Itapura",0.72
"265",3523107,"Itaquaquecetuba",0.714
"266",3523206,"Itararé",0.703
"267",3523305,"Itariri",0.677
"268",3523404,"Itatiba",0.778
"269",3523503,"Itatinga",0.706
"270",3523602,"Itirapina",0.724
"271",3523701,"Itirapuã",0.707
"272",3523800,"Itobi",0.717
"273",3523909,"Itu",0.773
"274",3524006,"Itupeva",0.762
"275",3524105,"Ituverava",0.765
"276",3524204,"Jaborandi",0.711
"277",3524303,"Jaboticabal",0.778
"278",3524402,"Jacareí",0.777
"279",3524501,"Jaci",0.723
"280",3524600,"Jacupiranga",0.717
"281",3524709,"Jaguariúna",0.784
"282",3524808,"Jales",0.776
"283",3524907,"Jambeiro",0.756
"284",3525003,"Jandira",0.76
"285",3525102,"Jardinópolis",0.735
"286",3525201,"Jarinu",0.733
"287",3525300,"Jaú",0.778
"288",3525409,"Jeriquara",0.703
"289",3525508,"Joanópolis",0.699
"290",3525607,"João Ramalho",0.741
"291",3525706,"José Bonifácio",0.777
"292",3525805,"Júlio Mesquita",0.716
"293",3525854,"Jumirim",0.741
"294",3525904,"Jundiaí",0.822
"295",3526001,"Junqueirópolis",0.745
"296",3526100,"Juquiá",0.7
"297",3526209,"Juquitiba",0.709
"298",3526308,"Lagoinha",0.693
"299",3526407,"Laranjal Paulista",0.729
"300",3526506,"Lavínia",0.721
"301",3526605,"Lavrinhas",0.729
"302",3526704,"Leme",0.744
"303",3526803,"Lençóis Paulista",0.764
"304",3526902,"Limeira",0.775
"305",3527009,"Lindóia",0.742
"306",3527108,"Lins",0.786
"307",3527207,"Lorena",0.766
"308",3527256,"Lourdes",0.742
"309",3527306,"Louveira",0.777
"310",3527405,"Lucélia",0.752
"311",3527504,"Lucianópolis",0.733
"312",3527603,"Luís Antônio",0.731
"313",3527702,"Luiziânia",0.702
"314",3527801,"Lupércio",0.724
"315",3527900,"Lutécia",0.72
"316",3528007,"Macatuba",0.77
"317",3528106,"Macaubal",0.743
"318",3528205,"Macedônia",0.74
"319",3528304,"Magda",0.753
"320",3528403,"Mairinque",0.743
"321",3528502,"Mairiporã",0.788
"322",3528601,"Manduri",0.739
"323",3528700,"Marabá Paulista",0.677
"324",3528809,"Maracaí",0.771
"325",3528858,"Marapoama",0.752
"326",3528908,"Mariápolis",0.718
"327",3529005,"Marília",0.798
"328",3529104,"Marinópolis",0.731
"329",3529203,"Martinópolis",0.721
"330",3529302,"Matão",0.773
"331",3529401,"Mauá",0.766
"332",3529500,"Mendonça",0.744
"333",3529609,"Meridiano",0.731
"334",3529658,"Mesópolis",0.724
"335",3529708,"Miguelópolis",0.741
"336",3529807,"Mineiros do Tietê",0.73
"337",3529906,"Miracatu",0.697
"338",3530003,"Mira Estrela",0.743
"339",3530102,"Mirandópolis",0.751
"340",3530201,"Mirante do Paranapanema",0.724
"341",3530300,"Mirassol",0.762
"342",3530409,"Mirassolândia",0.738
"343",3530508,"Mococa",0.762
"344",3530607,"Mogi das Cruzes",0.783
"345",3530706,"Mogi Guaçu",0.774
"346",3530805,"Moji Mirim",0.784
"347",3530904,"Mombuca",0.719
"348",3531001,"Monções",0.772
"349",3531100,"Mongaguá",0.754
"350",3531209,"Monte Alegre do Sul",0.759
"351",3531308,"Monte Alto",0.768
"352",3531407,"Monte Aprazível",0.785
"353",3531506,"Monte Azul Paulista",0.753
"354",3531605,"Monte Castelo",0.741
"355",3531704,"Monteiro Lobato",0.71
"356",3531803,"Monte Mor",0.733
