"","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","Município","idhm_2010"
"4117",2018,1,"SP","NOVO",3521606,100,"nao eleito","presidente",1.41803743618832,"Irapuru",0.712
"4118",2018,1,"SP","PATRIOTA",3521606,25,"nao eleito","presidente",0.354509359047079,"Irapuru",0.712
"4119",2018,1,"SP","PSDB",3521606,465,"nao eleito","presidente",6.59387407827567,"Irapuru",0.712
"4120",2018,1,"SP","PSL",3521705,4929,"2º turno","presidente",24.3311284430842,"Itaberá",0.693
"4121",2018,1,"SP","DC",3521804,4,"nao eleito","presidente",0.0176897222713603,"Itaí",0.713
"4122",2018,1,"SP","PDT",3521903,414,"nao eleito","presidente",2.43988684582744,"Itajobi",0.73
"4123",2018,1,"SP","PSTU",3522000,3,"nao eleito","presidente",0.0731707317073171,"Itaju",0.705
"4124",2018,1,"SP","NOVO",3522109,1046,"nao eleito","presidente",1.12316117255449,"Itanhaém",0.745
"4125",2018,1,"SP","PDT",3522109,3975,"nao eleito","presidente",4.26822720927735,"Itanhaém",0.745
"4126",2018,1,"SP","PPL",3522109,22,"nao eleito","presidente",0.0236228927305916,"Itanhaém",0.745
"4127",2018,1,"SP","MDB",3522208,1472,"nao eleito","presidente",0.938709656848053,"Itapecerica da Serra",0.742
"4128",2018,1,"SP","PT",3522208,21104,"2º turno","presidente",13.4582395367672,"Itapecerica da Serra",0.742
"4129",2018,1,"SP","PPL",3522307,23,"nao eleito","presidente",0.0154032641525861,"Itapetininga",0.763
"4130",2018,1,"SP","PPL",3522505,30,"nao eleito","presidente",0.0147255886554065,"Itapevi",0.735
"4131",2018,1,"SP","REDE",3522505,1439,"nao eleito","presidente",0.706337402504332,"Itapevi",0.735
"4132",2018,1,"SP","DC",3522802,1,"nao eleito","presidente",0.00654065014062398,"Itaporanga",0.719
"4133",2018,1,"SP","PPL",3522802,5,"nao eleito","presidente",0.0327032507031199,"Itaporanga",0.719
"4134",2018,1,"SP","PPL",3522901,2,"nao eleito","presidente",0.0157183275699466,"Itapuí",0.725
"4135",2018,1,"SP","PSTU",3522901,2,"nao eleito","presidente",0.0157183275699466,"Itapuí",0.725
"4136",2018,1,"SP","REDE",3522901,32,"nao eleito","presidente",0.251493241119145,"Itapuí",0.725
"4137",2018,1,"SP","MDB",3523008,18,"nao eleito","presidente",0.375078141279433,"Itapura",0.72
